h;f_backward;f_central;f_forward;d_backward;d_central;d_forward;f_s;d_s;
0.9994;0.101043499;0.014531082;0.071981335;0.101043541;0.014531106;0.071981328;0.107773843;0.107773791; 
0.9992;0.101021177;0.01452536;0.071970487;0.101021209;0.014525364;0.071970481;0.107749763;0.107749723; 
0.999;0.100998855;0.014519608;0.071959639;0.100998877;0.014519622;0.071959633;0.107725638;0.107725654; 
0.9988;0.100976563;0.014513886;0.071948761;0.100976546;0.014513882;0.071948783;0.107701543;0.107701587; 
0.9986;0.100954211;0.014508104;0.071938002;0.100954216;0.014508142;0.071937932;0.107677582;0.107677519; 
0.9984;0.100931889;0.014502412;0.071927035;0.100931886;0.014502404;0.071927079;0.10765342;0.107653453; 
0.9982;0.100909537;0.01449666;0.071916276;0.100909557;0.014496666;0.071916224;0.107629444;0.107629386; 
0.998;0.100887215;0.014490908;0.071905398;0.100887229;0.01449093;0.071905368;0.107605416;0.10760532; 
0.9978;0.100864893;0.014485186;0.07189452;0.100864901;0.014485195;0.071894511;0.107581298;0.107581254; 
0.9976;0.100842542;0.014479435;0.071883613;0.100842574;0.014479461;0.071883652;0.107557136;0.107557189; 
0.9974;0.100820249;0.014473742;0.071872765;0.100820248;0.014473728;0.071872791;0.107533063;0.107533124; 
0.9972;0.100797898;0.014467931;0.071862006;0.100797922;0.014467996;0.071861929;0.107509132;0.10750906; 
0.997;0.100775576;0.014462298;0.071851009;0.100775597;0.014462266;0.071851066;0.107484925;0.107484996; 
0.9968;0.100753284;0.014456546;0.071840221;0.100753273;0.014456536;0.071840201;0.107460979;0.107460932; 
0.9966;0.100730932;0.014450795;0.071829373;0.100730949;0.014450808;0.071829334;0.107436943;0.107436869; 
0.9964;0.10070861;0.014445073;0.071818465;0.100708626;0.01444508;0.071818466;0.107412855;0.107412806; 
0.9962;0.100686288;0.01443935;0.071807587;0.100686304;0.014439354;0.071807596;0.107388715;0.107388744; 
0.996;0.100663996;0.014433658;0.071796709;0.100663982;0.014433628;0.071796725;0.107364613;0.107364682; 
0.9958;0.100641644;0.014427877;0.071785921;0.100641661;0.014427904;0.071785852;0.107340704;0.107340621; 
0.9956;0.100619322;0.014422184;0.071774924;0.100619341;0.014422181;0.071774978;0.107316527;0.107316559; 
0.9954;0.100597;0.014416432;0.071764135;0.100597021;0.014416459;0.071764102;0.107292536;0.107292499; 
0.9952;0.100574678;0.01441071;0.071753257;0.100574702;0.014410738;0.071753225;0.107268485;0.107268438; 
0.995;0.100552416;0.014405018;0.07174235;0.100552383;0.014405019;0.071742346;0.107244413;0.107244379; 
0.9948;0.100530034;0.014399296;0.071731472;0.100530066;0.0143993;0.071731466;0.107220407;0.107220319; 
0.9946;0.100507772;0.014393604;0.071720564;0.100507749;0.014393582;0.071720584;0.107196215;0.10719626; 
0.9944;0.10048542;0.014387792;0.071709776;0.100485432;0.014387866;0.071709701;0.107172261;0.107172202; 
0.9942;0.100463098;0.01438216;0.071698779;0.100463117;0.01438215;0.071698816;0.107148106;0.107148143; 
0.994;0.100440776;0.014376408;0.071687961;0.100440802;0.014376436;0.07168793;0.107124153;0.107124086; 
0.9938;0.100418484;0.014370686;0.071677083;0.100418487;0.014370723;0.071677042;0.10710011;0.107100028; 
0.9936;0.100396162;0.014364994;0.071666175;0.100396173;0.014365011;0.071666152;0.107076074;0.107075971; 
0.9934;0.10037387;0.014359301;0.071655267;0.10037386;0.014359299;0.071655262;0.107051957;0.107051915; 
0.9932;0.100351518;0.014353579;0.07164433;0.100351548;0.014353589;0.071644369;0.107027787;0.107027859; 
0.993;0.100329197;0.014347887;0.071633452;0.100329236;0.014347881;0.071633475;0.107003737;0.107003803; 
0.9928;0.100306904;0.014342195;0.071622515;0.100306925;0.014342173;0.07162258;0.106979679;0.106979748; 
0.9926;0.100284642;0.014336473;0.071611696;0.100284615;0.014336466;0.071611683;0.10695574;0.106955693; 
0.9924;0.10026229;0.014330721;0.071600819;0.100262305;0.014330761;0.071600784;0.106931719;0.106931639; 
0.9922;0.100239968;0.014325059;0.071589881;0.100239996;0.014325056;0.071589884;0.106907632;0.106907585; 
0.992;0.100217676;0.014319307;0.071579003;0.100217688;0.014319353;0.071578982;0.106883618;0.106883531; 
0.9918;0.100195384;0.014313674;0.071568036;0.10019538;0.01431365;0.071568079;0.106859411;0.106859478; 
0.9916;0.100173062;0.014307952;0.071557158;0.100173073;0.014307949;0.071557175;0.106835368;0.106835425; 
0.9914;0.10015074;0.01430226;0.071546221;0.100150767;0.014302249;0.071546269;0.10681134;0.106811373; 
